"game_block_id","Game","Duration","player_id","player_name","role","Champion","Result","KDA","CSM","DPM","KP%"
"10","Dplus KIA vs T1","23:24","3741","Oner","JUNGLE","Zyra","Defeat","=""1/3/0""","6.9","298","50%"
"10","Dplus KIA vs T1","23:24","1250","ShowMaker","MID","Jayce","Victory","=""4/0/3""","9.4","739","50%"
"10","Dplus KIA vs T1","23:24","5392","Siwoo","TOP","Ambessa","Victory","=""3/0/4""","8.9","889","50%"
"11","Dplus KIA vs T1","31:49","1328","Aiming","ADC","Corki","Defeat","=""2/2/3""","8.8","721","71.4%"
"11","Dplus KIA vs T1","31:49","2184","BeryL","SUPPORT","Rakan","Defeat","=""0/4/5""","1.4","93","71.4%"
"11","Dplus KIA vs T1","31:49","1242","Doran","TOP","KSante","Victory","=""1/4/7""","7.3","295","47.1%"
"11","Dplus KIA vs T1","31:49","48","Faker","MID","Viktor","Victory","=""3/1/8""","8.5","1041","64.7%"
"11","Dplus KIA vs T1","31:49","3247","Gumayusi","ADC","Varus","Victory","=""9/0/7""","9.3","752","94.1%"
"11","Dplus KIA vs T1","31:49","1258","Keria","SUPPORT","Renata Glasc","Victory","=""0/1/14""","1.1","164","82.4%"
"11","Dplus KIA vs T1","31:49","3895","Lucid","JUNGLE","Wukong","Defeat","=""3/4/2""","6.0","306","71.4%"
"11","Dplus KIA vs T1","31:49","3741","Oner","JUNGLE","Xin Zhao","Victory","=""4/2/10""","6.7","703","82.4%"
"11","Dplus KIA vs T1","31:49","1250","ShowMaker","MID","Xerath","Defeat","=""2/3/3""","7.7","713","71.4%"
"11","Dplus KIA vs T1","31:49","5392","Siwoo","TOP","Rumble","Defeat","=""0/4/1""","7.3","519","14.3%"
"12","Dplus KIA vs T1","34:04","1328","Aiming","ADC","Jinx","Victory","=""6/0/11""","10.0","833","94.4%"
"12","Dplus KIA vs T1","34:04","2184","BeryL","SUPPORT","Braum","Victory","=""0/2/17""","1.1","198","94.4%"
"12","Dplus KIA vs T1","34:04","1242","Doran","TOP","Jax","Defeat","=""2/3/3""","8.1","295","55.6%"
"12","Dplus KIA vs T1","34:04","48","Faker","MID","Azir","Defeat","=""1/4/3""","10.0","726","44.4%"
"12","Dplus KIA vs T1","34:04","3247","Gumayusi","ADC","Jhin","Defeat","=""5/4/4""","8.8","679","100%"
"12","Dplus KIA vs T1","34:04","1258","Keria","SUPPORT","Bard","Defeat","=""1/4/8""","0.9","268","100%"
"12","Dplus KIA vs T1","34:04","3895","Lucid","JUNGLE","Vi","Victory","=""2/2/13""","6.3","251","83.3%"
"12","Dplus KIA vs T1","34:04","3741","Oner","JUNGLE","Poppy","Defeat","=""0/3/5""","4.8","303","55.6%"
"12","Dplus KIA vs T1","34:04","1250","ShowMaker","MID","Ahri","Victory","=""9/2/7""","8.3","907","88.9%"
"12","Dplus KIA vs T1","34:04","5392","Siwoo","TOP","Sion","Victory","=""1/3/10""","6.2","293","61.1%"
"13","GEN vs HLE","23:10","1909","Canyon","JUNGLE","Xin Zhao","Victory","=""4/2/12""","5.8","789","59.3%"
"13","GEN vs HLE","23:10","1629","Chovy","MID","Galio","Victory","=""6/0/16""","8.6","1141","81.5%"
"13","GEN vs HLE","23:10","3411","Delight","SUPPORT","Rakan","Defeat","=""2/6/5""","1.3","223","87.5%"
"13","GEN vs HLE","23:10","4259","Duro","SUPPORT","Lulu","Victory","=""1/3/20""","0.8","355","77.8%"
"13","GEN vs HLE","23:10","1115","Kiin","TOP","Jayce","Victory","=""3/1/13""","7.7","950","59.3%"
"13","GEN vs HLE","23:10","392","Peanut","JUNGLE","Vi","Defeat","=""3/5/3""","6.0","615","75%"
"13","GEN vs HLE","23:10","685","Ruler","ADC","Jinx","Victory","=""13/2/4""","9.5","985","63%"
"13","GEN vs HLE","23:10","1228","Viper","ADC","Tristana","Defeat","=""1/5/3""","7.7","350","50%"
"13","GEN vs HLE","23:10","2906","Zeka","MID","Aurora","Defeat","=""2/4/5""","7.6","937","87.5%"
"13","GEN vs HLE","23:10","3658","Zeus","TOP","Ornn","Defeat","=""0/7/5""","5.1","616","62.5%"
"14","GEN vs HLE","29:12","1909","Canyon","JUNGLE","Nidalee","Victory","=""3/0/5""","6.9","411","80%"
"14","GEN vs HLE","29:12","1629","Chovy","MID","Hwei","Victory","=""3/0/5""","9.7","663","80%"
"14","GEN vs HLE","29:12","3411","Delight","SUPPORT","Bard","Defeat","=""0/2/1""","1.3","91","50%"
"14","GEN vs HLE","29:12","4259","Duro","SUPPORT","Leona","Victory","=""1/1/7""","1.4","115","80%"
"14","GEN vs HLE","29:12","1115","Kiin","TOP","Renekton","Victory","=""2/1/4""","7.5","444","60%"
"14","GEN vs HLE","29:12","392","Peanut","JUNGLE","Zyra","Defeat","=""1/2/0""","6.6","270","50%"
"14","GEN vs HLE","29:12","685","Ruler","ADC","Ashe","Victory","=""1/0/4""","9.0","451","50%"
"14","GEN vs HLE","29:12","1228","Viper","ADC","Caitlyn","Defeat","=""0/1/1""","9.7","556","50%"
"14","GEN vs HLE","29:12","2906","Zeka","MID","Corki","Defeat","=""0/2/0""","10.1","391","0%"
"14","GEN vs HLE","29:12","3658","Zeus","TOP","Ambessa","Defeat","=""1/3/0""","7.6","367","50%"
